station_id,station_name,oct,nov,dec,jan,feb,mar,apr,may,jun,jul,aug,sep
APU,ANGWIN PACIFIC UNION COL,5.26,3.69,11.31,2.34,7.18,13.0,0.97,2.78,2.66,,,0.03
ASM,ASH MOUNTAIN,2.22,6.78,13.63,1.88,4.67,7.78,0.79,1.98,0.97,0.0,0.33,0.02
ATW,ATWELL CAMP,3.73,5.27,21.32,2.24,4.33,9.94,1.64,4.63,1.12,1.13,0.54,0.73
ABR,AUBERRY 2 NW,3.62,3.72,12.57,3.18,4.67,9.23,0.65,1.77,1.63,0.35,0.0,0.03
AUB,AUBURN,3.19,4.8,10.69,2.25,6.32,12.13,0.58,2.67,2.97,0.0,0.0,0.0
BFK,BAKERSFIELD AIRPORT,0.59,0.84,5.82,0.4,0.49,1.67,0.21,0.23,0.08,0.0,0.0,0.0
BFS,BARSTOW,1.13,1.12,7.07,0.01,0.52,0.24,0.07,0.0,0.0,0.2,0.58,0.34
BRM,BEAR TRAP MEADOW,3.32,6.12,24.35,5.79,3.34,18.61,4.74,4.35,1.91,1.14,0.64,1.62
BGB,BIG BAR,6.91,4.41,10.15,1.3,3.08,9.51,2.73,1.79,2.65,0.12,0.0,0.11
BBE,BIG BEAR LAKE,2.11,2.29,15.92,0.72,4.39,2.77,1.4,0.76,0.0,1.88,0.18,1.29
BGC,BIG CREEK 1,4.84,3.55,12.26,2.47,4.46,9.08,1.65,2.66,2.48,0.0,0.0,0.43
BGS,BIG SUR STATE PARK,2.17,3.81,7.38,3.64,7.27,12.21,0.7,2.57,4.01,0.0,0.0,0.0
BIS,BISHOP,1.33,0.28,5.38,0.02,0.94,1.0,0.02,0.06,0.01,0.08,0.0,0.09
BYM,BLUE CANYON (DWR-2),10.98,12.22,21.88,3.92,10.92,25.83,5.1,5.86,4.76,0.0,0.0,0.09
BLY,BLYTHE,0.27,0.0,0.57,0.0,1.17,0.06,0.0,0.0,0.0,1.64,0.0,0.09
BCA,BOCA,5.52,3.9,7.58,0.46,5.07,7.73,1.03,1.71,2.46,0.65,0.03,0.58
BDE,BODIE,1.85,0.97,2.26,0.17,2.55,2.77,0.33,0.31,0.0,1.58,0.02,0.33
BOW,BOWMAN,16.16,11.45,32.52,2.49,12.96,29.33,8.21,4.41,6.12,0.0,0.0,1.35
BDG,BRIDGEPORT R S,2.34,1.1,4.52,0.73,1.65,1.5,0.49,0.17,1.32,0.45,0.05,0.36
BCM,BRUSH CREEK (DWR-2),11.83,13.86,26.78,3.42,14.25,26.86,4.87,8.68,4.11,0.0,0.0,0.63
CCH,CACHUMA LAKE,2.24,1.42,9.48,1.84,3.36,11.85,0.14,0.42,0.46,0.0,0.0,0.0
CVT,CALAVERAS BIG TREES,10.93,11.05,19.2,3.41,8.83,18.63,2.07,4.71,3.79,0.0,0.0,0.28
CAL,CALLAHAN,4.34,1.66,5.65,0.91,1.06,5.42,0.96,1.54,1.42,0.42,0.23,0.09
CPD,CAMP PARDEE,2.46,4.01,6.53,2.43,4.7,6.11,0.51,1.81,1.65,0.01,0.0,0.34
CPT,CAPLES (TWIN) LAKE,6.97,6.51,11.67,1.49,6.3,12.91,2.59,3.07,3.55,1.03,0.0,0.81
CDV,CEDARVILLE,2.82,1.41,3.88,0.61,1.16,3.0,2.82,1.57,1.01,0.0,0.0,0.0
CHL,CHALLENGE RANGER STATION,,,,,,,,,,,,
CVD,CHERRY VALLEY DAM,10.01,9.34,21.05,3.54,8.78,17.77,2.14,4.34,3.6,0.0,0.0,0.7
CHS,CHESTER,4.64,4.08,9.24,1.05,3.13,4.31,2.07,2.87,1.53,0.0,0.0,0.02
