station_id,station_name,oct,nov,dec,jan,feb,mar,apr,may,jun,jul,aug,sep
ASM,ASH MOUNTAIN,0.0,2.91,4.09,0.81,0.43,3.57,4.43,1.31,0.0,0.0,0.02,0.0
ATW,ATWELL CAMP,0.0,3.95,6.22,1.3,0.72,3.86,4.49,0.87,0.1,0.01,0.01,0.02
ABR,AUBERRY 2 NW,2.11,1.55,5.28,0.99,0.24,4.52,2.52,1.1,0.0,0.0,0.0,0.0
AUB,AUBURN,0.01,0.55,4.38,2.44,1.3,0.3,3.48,2.34,1.16,0.01,0.01,0.01
BFK,BAKERSFIELD AIRPORT,0.0,1.07,1.52,0.24,0.16,0.28,2.61,0.16,1.66,0.0,0.0,0.0
BFS,BARSTOW,0.0,0.8,1.97,3.99,0.0,0.14,1.59,0.04,0.02,0.01,0.05,0.0
BRM,BEAR TRAP MEADOW,0.13,4.89,7.57,1.0,0.64,5.05,6.11,1.33,0.36,0.31,0.19,0.14
BGB,BIG BAR,0.46,2.09,5.01,6.1,0.05,1.9,0.84,3.99,0.0,0.14,0.0,0.01
BBE,BIG BEAR LAKE,0.0,3.2,4.77,0.29,0.2,4.02,3.01,0.07,0.0,0.01,0.19,0.0
BGC,BIG CREEK 1,0.0,2.91,6.03,1.21,0.39,5.16,4.81,1.66,0.02,0.0,0.01,0.01
BGS,BIG SUR STATE PARK,0.0,3.09,17.87,1.8,0.9,0.5,3.97,1.45,0.0,0.0,0.01,0.0
BIS,BISHOP,0.0,0.79,0.19,0.06,0.14,0.41,0.66,0.0,0.0,0.0,0.0,0.0
BYM,BLUE CANYON (DWR-2),0.11,3.99,13.85,6.53,0.27,11.97,5.22,5.06,0.0,0.0,0.0,0.0
BLY,BLYTHE,0.51,1.8,0.43,4.9,0.11,0.0,0.66,0.0,5.06,0.0,0.02,0.0
BCA,BOCA,0.0,0.93,5.01,0.8,0.05,2.52,1.46,0.77,0.0,1.1,0.13,0.04
BDE,BODIE,0.0,0.91,1.89,0.47,0.06,1.58,1.64,0.65,2.1,0.05,0.26,0.07
BOW,BOWMAN,0.17,3.16,14.33,7.14,0.09,1.64,2.83,0.13,0.27,0.03,0.08,0.2
BDG,BRIDGEPORT R S,0.0,0.34,2.36,0.6,0.1,1.13,0.88,0.44,0.01,0.95,0.24,0.01
BCM,BRUSH CREEK (DWR-2),0.09,3.27,16.55,7.54,0.03,8.25,3.65,6.01,0.6,0.0,0.06,0.03
CCH,CACHUMA LAKE,0.0,1.52,7.19,0.48,0.06,8.13,3.58,0.07,0.0,0.0,0.01,0.0
CVT,CALAVERAS BIG TREES,0.0,2.12,14.17,3.19,0.0,8.44,2.05,0.9,0.09,0.0,0.01,0.04
CAL,CALLAHAN,0.31,0.92,4.28,2.43,0.0,0.56,0.72,2.23,0.21,0.01,0.03,0.01
CPD,CAMP PARDEE,0.0,1.09,5.91,1.42,0.07,4.3,2.22,1.68,0.0,0.0,0.0,0.01
CPT,CAPLES (TWIN) LAKE,4.3,2.72,10.54,2.31,0.18,6.85,3.9,2.94,0.0,0.4,0.35,0.03
CDV,CEDARVILLE,0.51,0.25,2.12,3.12,0.2,0.11,0.58,1.21,0.0,0.0,0.21,0.05
CVD,CHERRY VALLEY DAM,0.0,2.82,11.15,1.94,0.09,0.0,4.69,2.61,3.07,0.03,0.04,0.07
CHS,CHESTER,0.26,1.3,6.51,0.74,0.24,3.3,1.68,2.86,0.27,0.28,0.02,0.0
CES,CHICO UNIV FARM,0.01,0.96,4.76,1.77,0.01,1.57,0.91,1.94,0.09,0.0,0.01,0.0
CNL,CHINA LAKE ARMITAGE,0.0,0.06,0.55,0.12,0.04,0.57,0.25,0.03,0.01,0.01,0.17,0.0
CLN,COALINGA,0.0,0.52,1.65,2.35,0.0,0.0,0.68,0.23,0.01,0.01,0.01,0.0
