station_id,station_name,oct,nov,dec,jan,feb,mar,apr,may,jun,jul,aug,sep
APU,ANGWIN PACIFIC UNION COL,0.26,5.48,0.2,6.14,0.2,9.48,3.46,0.35,0.0,0.0,0.0,0.0
ASM,ASH MOUNTAIN,0.05,2.11,0.15,1.74,0.52,8.28,2.4,0.22,0.0,0.28,0.0,0.0
ATW,ATWELL CAMP,0.06,3.15,0.18,3.45,1.62,12.28,3.85,0.99,0.08,0.5,0.0,0.45
ABR,AUBERRY 2 NW,0.11,1.5,0.14,2.52,0.41,12.45,1.81,0.1,0.0,0.0,0.0,0.0
AUB,AUBURN,0.78,5.82,0.52,4.62,1.13,7.59,0.89,0.15,0.0,0.0,0.0,0.0
BFK,BAKERSFIELD AIRPORT,0.0,0.03,0.04,1.03,0.22,2.41,0.2,0.02,0.0,0.0,0.0,0.0
BFS,BARSTOW,0.0,0.0,0.0,0.42,0.01,1.17,0.0,0.49,0.0,0.33,0.0,0.0
BRM,BEAR TRAP MEADOW,0.0,4.21,0.26,3.73,0.51,19.07,4.66,0.53,0.18,0.24,0.0,0.0
BGB,BIG BAR,0.75,5.92,0.5,4.31,0.52,4.8,3.51,1.17,0.09,0.0,0.0,0.21
BBE,BIG BEAR LAKE,0.0,0.0,0.01,3.28,0.4,4.72,0.0,0.56,0.0,0.99,0.0,0.0
BGC,BIG CREEK 1,0.32,2.33,0.16,2.6,1.14,13.49,3.52,0.24,0.0,0.01,0.0,0.0
BGS,BIG SUR STATE PARK,0.15,3.73,0.06,7.78,0.56,14.45,2.45,0.04,0.0,0.0,0.0,0.0
BIS,BISHOP,0.0,0.22,0.0,0.14,0.0,1.3,0.32,0.48,0.0,2.05,0.0,0.05
BYM,BLUE CANYON (DWR-2),1.0,18.75,0.98,11.19,2.14,21.75,8.09,1.67,0.02,0.0,0.0,0.0
BLY,BLYTHE,0.0,0.0,0.0,0.14,0.0,0.03,0.0,0.0,0.0,0.1,0.7,0.02
BCA,BOCA,0.63,4.78,0.41,2.55,0.6,8.63,1.6,2.66,0.16,0.49,0.0,0.0
