station_id,station_name,oct,nov,dec,jan,feb,mar,apr,may,jun,jul,aug,sep
ALT,ALTURAS RS,0.71,1.33,0.91,1.96,1.79,1.98,1.47,0.32,0.04,0.0,0.47,0.57
APU,ANGWIN PACIFIC UNION COL,0.66,2.85,7.18,7.94,11.34,5.54,1.52,1.0,0.0,0.0,0.19,0.0
ASM,ASH MOUNTAIN,0.21,1.26,1.23,2.89,6.33,4.81,1.76,0.8,0.0,0.0,0.3,0.0
ATW,ATWELL CAMP,0.17,1.63,1.42,5.49,9.92,7.39,4.32,1.31,0.29,0.24,0.24,0.0
ABR,AUBERRY 2 NW,0.02,0.67,1.74,3.91,8.85,5.69,2.3,0.85,0.0,0.0,0.0,0.0
AUB,AUBURN,1.67,0.52,3.25,3.39,4.49,2.35,1.88,1.61,0.0,0.0,0.18,0.0
BFK,BAKERSFIELD AIRPORT,0.3,0.02,0.64,1.62,2.22,1.03,0.78,0.1,0.0,0.0,0.0,0.0
BFS,BARSTOW,0.0,0.1,0.75,1.33,3.01,1.03,0.05,0.0,0.0,0.3,0.0,0.02
BRM,BEAR TRAP MEADOW,0.2,2.29,2.61,4.03,13.15,10.19,4.14,1.67,0.22,0.16,0.0,0.0
BGB,BIG BAR,1.03,2.59,7.04,12.62,7.37,7.47,1.36,1.18,0.01,0.03,1.73,0.02
BBE,BIG BEAR LAKE,0.14,0.94,0.67,2.76,13.22,2.97,1.08,0.03,0.0,0.29,0.46,0.02
BGC,BIG CREEK 1,0.01,1.78,2.75,4.99,12.1,6.38,2.9,1.09,0.0,0.0,0.0,0.04
BGS,BIG SUR STATE PARK,0.4,2.33,9.34,8.22,12.28,8.54,3.27,0.93,0.0,0.0,0.0,0.07
BIS,BISHOP,0.18,0.07,0.36,0.08,3.4,0.35,0.01,0.0,0.0,0.02,0.0,0.0
BLY,BLYTHE,0.0,0.3,0.06,0.36,0.34,0.12,0.09,0.0,0.0,0.0,0.01,0.0
BCA,BOCA,0.87,1.55,1.96,2.36,4.4,7.67,0.72,0.91,0.0,0.01,0.43,0.25
BDE,BODIE,0.16,0.5,0.36,0.89,2.24,2.69,0.45,0.31,0.15,0.26,0.41,0.42
BOW,BOWMAN,1.99,2.73,6.21,9.8,11.96,11.93,1.78,1.93,0.0,0.0,0.79,0.0
BDG,BRIDGEPORT R S,0.11,0.02,0.06,0.9,1.93,,0.46,0.19,0.06,0.28,0.52,0.48
BCM,BRUSH CREEK (DWR-2),0.47,3.4,10.81,18.62,14.48,13.82,2.49,3.26,0.0,0.0,1.01,0.0
CCH,CACHUMA LAKE (BRADBURY DAM),0.01,0.64,5.16,1.87,15.16,5.9,2.8,0.1,0.0,0.0,0.0,0.03
CVT,CALAVERAS BIG TREES,0.49,3.87,4.29,8.07,10.31,9.43,2.92,1.26,0.0,0.0,0.06,0.05
CAL,CALLAHAN,0.75,1.23,5.04,8.47,7.21,3.49,2.01,0.41,0.03,0.04,0.29,0.59
CPD,CAMP PARDEE,0.67,0.81,2.47,8.4,4.68,,2.37,0.85,0.0,0.0,0.0,0.0
CPT,CAPLES (TWIN) LAKE,0.85,2.25,3.74,6.64,10.67,11.63,0.8,0.62,0.0,0.0,0.07,0.0
CDV,CEDARVILLE,0.74,1.98,0.72,,1.47,2.93,1.15,0.27,0.0,0.35,0.41,0.25
CVD,CHERRY VALLEY DAM,0.09,2.93,3.11,6.96,10.61,10.5,2.83,1.51,0.0,0.0,0.05,0.09
CHS,CHESTER,0.12,2.65,3.28,5.47,9.12,4.68,0.98,1.4,0.0,0.06,0.3,0.02
CES,CHICO UNIV FARM,0.77,0.71,3.66,4.45,6.31,2.56,2.68,1.33,0.0,0.0,0.05,0.01
CNL,CHINA LAKE ARMITAGE,0.0,0.1,0.4,0.56,1.9,,0.05,0.01,0.0,0.12,0.0,0.0
CLN,COALINGA,0.0,0.17,1.73,0.88,2.29,2.95,1.68,0.08,0.0,0.0,0.0,0.01
CFF,COFFEE CREEK RANGER STATION,0.44,3.92,12.2,15.68,13.3,6.91,1.94,0.95,0.14,0.01,0.68,0.3
CLF,COLFAX,1.22,3.44,5.3,9.7,10.4,9.34,1.99,1.99,0.0,0.0,0.85,0.06
CTT,COTTONWOOD GATES,0.0,0.18,0.8,0.08,3.12,,0.32,0.0,0.1,0.1,0.0,0.0
COV,COVELO 1 NNE,1.4,1.84,7.75,9.57,11.2,,1.64,1.49,0.02,0.0,0.91,0.0
CRC,CROOKED CREEK (LONG VALLEY),0.18,0.26,0.36,0.33,3.41,,0.12,0.0,0.09,0.21,0.01,0.09
CUY,CUYAMACA DAM,0.94,1.86,1.33,,9.0,,2.13,0.34,0.0,0.08,0.64,0.01
DVS,DAVIS 2WSW,0.88,0.72,3.45,3.04,6.32,1.66,0.92,0.4,0.0,0.0,0.0,0.0
DSB,DE SABLA (PG&E),0.71,2.53,7.56,17.69,15.14,11.44,2.55,3.37,0.0,0.0,0.91,0.0
DTV,DEATH VALLEY,0.09,0.01,0.23,0.43,1.27,0.53,0.17,0.0,0.0,0.12,0.0,0.0
DMS,DONNER MEM ST PARK,0.58,2.95,3.18,,6.45,,1.01,1.43,0.0,0.0,0.93,0.3
DWV,DOWNIEVILLE,1.36,3.08,5.61,10.27,12.93,12.84,2.11,3.02,0.0,0.09,0.78,0.12
DYL,DOYLE,0.27,0.25,0.35,0.8,2.86,2.7,0.49,0.5,0.0,0.01,0.17,0.11
DNM,DUNSMUIR TREATMENT PLANT,0.91,3.52,11.55,17.02,16.43,12.31,1.76,1.61,0.0,0.0,1.53,0.28
EGL,EAGLE CREEK,0.17,1.36,1.34,4.8,12.07,7.48,3.39,0.8,0.27,0.0,0.01,0.0
ELC,EL CAPITAN DAM,0.06,0.9,1.05,4.65,6.41,4.76,1.03,0.2,0.0,0.02,0.17,0.03
ERY,ELLERY LAKE,0.12,1.51,1.34,,6.22,,1.31,0.77,0.14,0.59,0.69,0.0
ELS,ELSINORE,0.0,0.28,0.74,1.99,7.88,3.49,0.97,0.12,0.0,0.0,0.0,0.02
ENG,ENGLEBRIGHT (USACE),0.99,0.71,3.72,6.49,6.51,3.3,1.17,1.57,0.0,0.0,0.22,0.0
ERK,EUREKA WOODLEY ISLAND,2.23,3.28,7.78,11.85,8.02,7.42,1.17,2.42,0.79,0.04,1.47,0.07
FRF,FAIRFIELD,0.51,0.02,3.96,,6.02,3.1,0.92,0.63,0.0,0.0,0.0,0.0
FMT,FAIRMONT RESERVOIR,0.0,0.52,2.87,1.24,8.75,4.52,1.37,0.0,0.0,0.0,0.0,0.05
NIC,FEATHER RIVER NEAR NICOLAUS,0.84,0.49,3.54,2.99,5.05,1.89,0.84,1.09,0.0,0.0,0.18,0.0
FDD,FIDDLETOWN,2.41,2.99,3.15,6.88,7.47,9.28,2.1,1.74,0.0,0.0,0.01,0.0
FLR,FLORENCE LAKE (SCE),0.26,1.52,2.17,5.1,11.3,,2.41,1.11,0.0,0.18,0.03,0.06
FLD,FOLSOM DAM - FOLSOM POINT (DYKE 8),1.01,0.75,2.05,2.95,5.24,,1.64,0.98,0.0,0.0,0.09,0.0
FRH,FORESTHILL R S,2.12,3.52,3.19,9.51,10.85,10.49,2.11,2.0,0.0,0.0,0.45,0.0
FBW,FORT BIDWELL,0.72,2.94,1.29,2.65,1.34,1.89,1.24,0.33,0.02,0.16,0.39,0.25
FJN,FORT JONES RS,0.46,1.0,2.23,4.64,2.34,2.44,0.85,0.51,0.01,0.0,0.48,0.36
FRR,FORT ROSS,1.79,3.27,11.58,,15.1,5.69,1.56,1.1,0.0,0.06,0.24,0.0
FRO,FRESNO WB AIRPORT,0.0,0.21,0.68,1.9,3.37,2.16,1.37,0.34,0.0,0.01,0.0,0.0
GAS,GASQUET RANGER STATION,4.5,7.8,16.8,25.13,15.74,17.85,3.06,4.14,1.8,0.0,4.04,0.7
GLK,GEM LAKE,0.13,1.21,3.03,,9.3,,1.65,0.94,0.04,0.52,0.15,0.34
GRG,GEORGETOWN RS (USFS),1.9,3.68,4.32,10.77,9.14,10.35,1.96,2.36,0.0,0.0,0.13,0.0
GNF,GIANT FOREST (USACE),0.01,1.94,1.69,4.05,11.4,10.15,4.71,1.46,0.18,0.24,0.01,0.0
GLV,GLENVILLE FS,0.5,0.6,1.0,2.9,6.26,,1.07,0.37,0.0,0.04,0.01,0.07
GRO,GRANT GROVE,0.48,2.13,0.43,1.83,4.65,5.3,1.98,1.23,0.1,0.0,0.03,0.0
GSV,GRASS VALLEY,1.59,2.53,5.36,11.16,13.04,8.32,1.78,2.01,0.0,0.0,0.27,0.0
GVL,GROVELAND R S,0.22,1.78,2.55,7.38,10.43,10.06,3.46,1.21,0.0,0.0,0.01,0.0
GHS,GROVER HOT SPRINGS,0.46,1.62,2.05,,5.69,1.74,0.67,0.54,0.0,0.6,0.19,0.58
HWE,HAIWEE,0.0,0.11,1.04,0.21,2.9,1.34,0.62,0.0,0.01,0.04,0.0,0.0
HND,HANFORD REFINERY,0.01,0.13,1.14,1.64,3.05,1.28,1.08,0.33,0.0,0.02,0.0,0.0
HAP,HAPPY CAMP RS,1.34,3.86,7.3,11.97,6.83,9.48,1.13,1.43,0.33,0.0,1.5,0.32
HSD,HENSHAW DAM,0.24,1.42,1.17,4.54,9.52,6.38,1.38,0.2,0.0,0.0,0.0,0.06
HTH,HETCH HETCHY,0.16,2.41,1.68,5.46,8.21,8.62,4.41,1.76,0.0,0.7,0.11,0.13
HCK,HOCKETT MEADOW (USACE),0.19,0.99,1.4,4.6,11.76,8.17,3.53,1.44,0.15,0.28,0.2,0.0
HLS,HOLLISTER,0.16,0.57,2.39,2.33,4.58,2.69,1.44,0.3,0.0,0.0,0.0,0.0
HOO,HOOPA,2.68,4.38,8.72,25.13,8.0,12.32,1.37,1.43,0.28,0.0,1.82,0.18
HSS,HOSSACK,0.0,0.48,1.39,5.48,11.21,10.43,3.82,1.3,0.46,0.0,0.0,0.0
IMP,IMPERIAL VALLEY,0.0,0.23,0.0,1.16,0.02,0.1,0.0,0.0,0.0,0.0,0.0,0.0
IPN,INDEPENDENCE,0.0,0.05,0.52,0.08,1.14,,0.12,0.0,0.08,0.0,0.0,0.0
ISB,ISABELLA DAM,0.05,0.33,0.52,3.0,5.29,2.11,0.55,0.06,0.03,0.02,0.01,0.17
JNL,JUNCAL DAM,0.0,0.05,9.99,3.75,22.41,8.29,4.12,0.15,0.0,0.01,0.0,0.0
KP3,KERN PH 3,0.0,0.43,0.87,0.0,4.22,1.04,0.28,0.06,0.0,0.43,0.01,0.12
KR3,KERN R INTAKE NO. 3,0.06,0.37,0.81,2.5,5.4,4.8,1.15,0.32,0.0,0.06,0.03,0.0
OLS,KLAMATH RIVER AT ORLEANS,2.28,5.79,8.92,15.63,7.28,12.04,1.4,1.68,0.48,0.0,1.48,0.12
LGT,LAGUNITAS LAKE,0.74,4.09,9.64,,13.0,,2.0,1.58,0.0,0.0,0.02,0.0
