station_id,station_name,oct,nov,dec,jan,feb,mar,apr,may,jun,jul,aug,sep
ALT,ALTURAS RS,1.72,2.06,1.64,0.56,4.61,0.71,1.71,0.65,0.11,,,
APU,ANGWIN PACIFIC UNION COL,0.42,16.67,9.9,0.84,13.22,4.27,0.57,0.2,0.0,,,
TSH,ASH MOUNTAIN NEAR THREE RIVERS 6NE,0.0,3.45,1.24,0.7,6.99,6.98,0.97,0.05,0.0,,,
ATW,ATWELL CAMP,0.0,7.09,2.82,0.74,7.64,9.3,2.73,0.07,0.0,,,
ABR,AUBERRY 2 NW,0.0,3.19,1.86,0.91,6.99,8.32,1.27,0.09,0.0,,,
AUB,AUBURN,0.03,8.12,8.34,0.83,8.72,4.95,1.42,0.06,0.0,,,
BFK,BAKERSFIELD AIRPORT,0.0,1.18,0.41,0.0,0.59,1.5,0.28,0.0,0.0,,,
BFS,BARSTOW,0.0,0.01,0.0,0.48,0.52,0.69,0.0,0.17,0.0,,,
BRM,BEAR TRAP MEADOW,0.04,7.6,3.0,0.81,11.77,10.26,2.16,0.24,0.11,,,
BGB,BIG BAR,0.97,11.86,10.6,2.16,10.81,5.78,1.85,0.39,0.06,,,
BBE,BIG BEAR LAKE,0.05,0.26,0.0,0.09,6.14,4.42,0.59,0.92,0.02,,,
BGC,BIG CREEK 1,0.0,5.52,3.04,0.92,13.03,10.46,1.94,0.12,0.0,,,
BGS,BIG SUR STATE PARK,0.07,5.99,5.37,0.62,11.47,5.9,1.16,0.03,0.0,,,
ARN,BIG TREES,0.36,5.18,7.03,1.3,12.11,8.44,1.8,0.56,0.07,,,
BIS,BISHOP,0.0,0.69,0.0,0.06,2.5,0.02,0.17,0.03,0.03,,,
BLY,BLYTHE,0.0,0.0,0.0,0.0,0.02,0.5,0.0,0.54,0.09,,,
BCA,BOCA,0.36,1.9,3.33,0.72,7.07,2.91,1.31,0.43,0.07,,,
BDE,BODIE,0.22,1.22,0.8,0.28,2.54,1.37,0.38,0.05,0.11,,,
BOW,BOWMAN,0.82,12.77,14.08,1.35,21.13,12.52,2.34,1.17,0.0,,,
BDG,BRIDGEPORT R S,0.26,1.16,0.97,0.28,2.6,1.73,0.38,0.05,0.14,,,
BRS,BRUSH CREEK (DWR),0.22,23.04,18.18,2.42,29.36,13.84,3.61,1.39,0.0,,,
CCH,CACHUMA LAKE (BRADBURY DAM),0.07,0.5,0.37,0.37,3.89,3.73,0.33,0.07,0.0,,,
CAL,CALLAHAN,0.09,6.98,8.13,2.17,7.21,4.81,1.37,0.3,0.0,,,
CPD,CAMP PARDEE,0.02,1.73,3.38,0.75,3.51,0.75,0.96,0.01,0.0,,,
CAP,CAPLES LAKE,1.57,5.54,5.86,0.82,7.95,8.2,1.61,0.61,0.12,,,
CDV,CEDARVILLE,1.02,2.67,2.48,0.47,6.99,1.19,2.26,1.03,0.24,,,
CVD,CHERRY VALLEY DAM,0.52,5.22,5.96,0.7,12.62,7.79,3.01,0.59,0.0,,,
CHS,CHESTER,0.59,10.35,6.08,1.32,10.0,4.52,1.15,0.84,0.25,,,
CES,CHICO UNIV FARM,0.41,9.3,5.89,0.81,7.45,3.08,0.23,0.4,0.0,,,
CNL,CHINA LAKE ARMITAGE,0.0,0.03,0.02,0.08,0.95,0.54,0.02,0.1,0.0,,,
CLN,COALINGA,0.0,0.8,0.35,0.13,1.12,1.01,0.15,0.03,0.0,,,
CFF,COFFEE CREEK RANGER STATION,0.05,17.35,16.14,2.97,11.72,9.3,1.53,0.62,0.0,,,
CLF,COLFAX,0.41,8.64,10.97,1.71,11.93,10.04,2.24,0.3,0.0,,,
CTT,COTTONWOOD GATES,0.01,1.21,0.01,0.01,2.69,0.08,0.11,0.18,0.11,,,
COV,COVELO 1 NNE,0.82,12.61,12.41,1.77,10.89,5.92,1.5,0.48,0.0,,,
CRC,CROOKED CREEK (LONG VALLEY),0.0,1.68,0.12,0.06,3.02,0.52,0.21,0.46,0.04,,,
CUY,CUYAMACA DAM,0.07,0.81,0.05,0.84,4.23,7.21,1.07,0.61,0.01,,,
DVS,DAVIS 2WSW,0.05,3.87,3.28,0.2,5.88,1.25,0.04,0.06,0.0,,,
DSB,DE SABLA (PG&E),0.84,19.59,17.28,1.77,22.62,11.13,2.12,1.67,0.0,,,
DTV,DEATH VALLEY,0.01,0.0,0.0,0.36,0.0,0.0,0.0,0.02,0.03,,,
DMS,DONNER MEM ST PARK,0.63,4.52,5.43,0.58,8.31,3.46,1.7,0.51,0.25,,,
DNV,DOWNIEVILLE,1.29,17.69,13.05,2.55,21.6,14.17,2.29,1.4,0.0,,,
DYL,DOYLE,0.42,1.39,0.9,0.46,3.08,1.21,1.13,0.24,0.0,,,
DNM,DUNSMUIR TREATMENT PLANT,0.86,8.21,16.77,3.45,17.13,12.18,1.93,1.02,0.0,,,
EGL,EAGLE CREEK,0.0,6.51,3.25,0.63,9.33,12.0,2.44,0.51,0.0,,,
ELC,EL CAPITAN DAM,0.0,0.25,0.0,0.0,2.43,4.19,0.53,0.38,0.01,,,
ERY,ELLERY LAKE,0.45,3.75,2.66,0.66,1.55,4.3,0.91,0.23,0.0,,,
ELS,ELSINORE,0.0,0.01,0.0,0.34,2.54,2.09,0.15,0.31,0.0,,,
ENG,ENGLEBRIGHT (USACE),0.28,7.83,7.32,0.67,0.66,0.54,0.9,0.22,0.0,,,
ERK,EUREKA WOODLEY ISLAND,2.41,9.53,9.1,3.54,7.56,9.44,2.36,0.32,0.07,,,
FRF,FAIRFIELD,0.11,5.35,4.55,0.27,8.04,1.38,0.18,0.55,0.0,,,
FMT,FAIRMONT RESERVOIR,0.0,0.04,0.0,1.67,2.44,2.94,0.56,0.99,0.0,,,
NIC,FEATHER RIVER NEAR NICOLAUS,0.0,6.29,4.1,1.18,5.02,1.66,0.43,0.06,0.0,,,
FDL,FIDDLETOWN,0.07,3.23,6.97,1.42,9.88,8.1,1.62,0.06,0.0,,,
FLR,FLORENCE LAKE (SCE),0.04,5.13,2.41,0.54,10.96,5.6,1.15,0.54,0.33,,,
FLD,FOLSOM DAM - FOLSOM POINT (DYKE 8),0.07,4.15,3.87,0.43,3.55,1.73,0.35,0.0,0.0,,,
FRH,FORESTHILL R S,0.25,9.21,10.05,1.0,14.77,8.76,2.1,0.55,0.0,,,
FBW,FORT BIDWELL,0.59,2.4,2.39,1.76,6.67,0.98,1.05,0.36,0.0,,,
