station_id,station_name,oct,nov,dec,jan,feb,mar,apr,may,jun,jul,aug,sep
ASM,ASH MOUNTAIN,0.0,0.66,1.53,3.13,1.01,2.2,0.34,0.1,0.09,0.16,0.01,0.08
ATW,ATWELL CAMP,0.0,1.33,2.31,3.93,1.36,3.49,0.49,0.01,0.18,0.52,0.16,0.0
ABR,AUBERRY 2 NW,0.0,0.62,2.04,5.89,1.64,3.18,0.18,0.03,0.02,0.02,0.0,0.05
AUB,AUBURN,0.0,1.93,2.82,5.05,4.25,3.1,0.2,0.08,0.01,0.0,0.0,0.16
BFK,BAKERSFIELD AIRPORT,0.0,0.39,0.35,1.02,0.2,0.79,0.19,0.0,0.0,0.0,0.0,0.0
BFS,BARSTOW,0.0,0.0,0.17,0.65,0.14,0.21,0.0,0.0,0.01,0.39,0.0,0.0
BRM,BEAR TRAP MEADOW,0.0,1.44,2.05,4.62,1.42,3.99,1.13,0.12,0.11,0.02,0.28,0.04
BGB,BIG BAR,0.04,1.54,3.17,3.99,3.06,2.45,0.34,0.16,0.43,0.0,0.01,0.84
BBE,BIG BEAR LAKE,0.0,0.64,1.2,2.76,0.33,0.86,0.05,0.02,0.06,1.29,0.37,0.01
BGC,BIG CREEK 1,0.0,1.17,1.78,5.84,1.42,2.97,0.4,0.03,0.08,0.11,0.01,0.02
BGS,BIG SUR STATE PARK,0.0,1.4,3.35,14.67,1.49,3.67,0.11,0.02,0.01,0.0,0.0,0.0
BIS,BISHOP,0.0,0.0,0.33,0.18,0.23,0.0,0.0,0.02,0.02,0.02,0.01,0.0
BYM,BLUE CANYON (DWR-2),0.0,7.14,5.23,9.53,5.73,5.37,0.66,0.25,0.05,0.07,0.01,1.97
BLY,BLYTHE,0.0,0.0,0.18,0.86,0.1,0.0,0.0,0.0,0.01,0.21,0.0,0.02
BCA,BOCA,0.0,1.69,1.64,2.09,1.16,0.87,0.31,0.42,0.04,0.41,0.03,0.26
BDE,BODIE,0.0,0.55,0.7,1.85,0.55,0.84,0.36,0.31,0.34,0.97,0.07,0.0
BOW,BOWMAN,0.0,4.91,5.68,10.49,6.63,5.45,0.78,0.25,0.08,0.01,0.03,1.98
BDG,BRIDGEPORT R S,0.0,1.2,0.87,2.75,0.58,0.58,0.6,0.66,0.01,0.48,0.01,0.0
BCM,BRUSH CREEK (DWR-2),0.02,4.17,7.06,7.9,6.13,6.25,0.94,0.04,0.17,0.02,0.0,0.75
CCH,CACHUMA LAKE,0.0,0.31,2.0,8.39,0.26,1.02,0.02,0.0,0.0,0.0,0.0,0.0
CVT,CALAVERAS BIG TREES,0.0,2.57,4.04,12.29,3.14,3.84,0.76,0.05,0.0,0.0,0.0,0.08
CAL,CALLAHAN,0.1,2.03,2.72,3.89,2.72,1.43,0.4,0.22,0.49,0.47,0.01,1.07
CPD,CAMP PARDEE,0.0,0.91,2.02,5.15,2.18,2.04,0.24,0.13,0.02,0.0,0.0,0.02
CPT,CAPLES (TWIN) LAKE,0.01,3.49,3.54,5.51,3.69,3.33,1.31,1.17,0.23,1.57,0.26,0.21
CDV,CEDARVILLE,0.06,1.06,1.28,1.09,1.27,0.73,0.71,0.31,0.18,0.08,0.1,1.35
CVD,CHERRY VALLEY DAM,0.0,2.18,4.15,9.41,3.27,4.18,0.88,0.36,0.18,0.13,0.02,0.13
CHS,CHESTER,0.05,1.72,2.49,3.25,3.04,2.1,1.11,0.61,0.13,0.06,0.0,0.23
CES,CHICO UNIV FARM,0.0,0.79,2.35,2.67,2.05,2.51,0.33,0.02,0.02,0.0,0.0,0.09
CNL,CHINA LAKE ARMITAGE,0.0,0.07,0.26,0.43,0.08,0.07,0.01,0.0,0.01,0.1,0.08,0.05
CLN,COALINGA,0.0,0.13,0.41,2.74,0.18,0.73,0.03,0.02,0.0,0.0,0.0,0.0
CFF,COFFEE CREEK RANGER STATION,0.07,1.25,3.03,4.39,3.61,3.76,0.88,0.08,0.26,0.05,0.0,1.01
CLF,COLFAX,0.0,3.21,3.94,6.31,4.47,4.15,0.45,0.17,0.04,0.01,0.0,0.59
CTT,COTTONWOOD GATES,0.0,0.0,0.73,0.36,0.2,0.05,0.02,0.16,0.0,0.2,0.0,0.0
COV,COVELO 1 NNE,0.07,2.48,3.96,5.16,4.56,2.88,0.64,0.16,0.12,0.0,0.0,0.8
CEC,CRESCENT CITY MC NAMARA FIELD,1.23,4.87,7.54,12.8,9.88,5.79,0.98,0.48,3.09,0.05,0.0,3.52
CRC,CROOKED CREEK (LONG VALLEY),0.0,0.14,0.73,2.6,0.35,0.14,0.0,0.09,0.35,2.22,0.1,0.46
CUY,CUYAMACA DAM,0.69,1.76,3.19,3.76,0.39,6.76,0.46,0.03,0.0,2.22,0.84,0.09
DVS,DAVIS 2WSW,0.0,0.74,1.46,2.84,1.48,1.27,0.11,0.03,0.01,0.0,0.0,0.02
DSB,DE SABLA (PG&E),0.0,3.57,5.15,8.03,5.28,6.59,1.07,0.01,0.14,0.0,0.0,0.3
DTV,DEATH VALLEY,0.0,0.0,0.19,0.36,0.14,0.14,0.04,0.0,0.01,0.07,0.0,0.0
DMS,DONNER MEM ST PARK,0.0,2.85,3.29,3.89,2.81,2.02,0.44,1.05,0.07,0.23,0.02,0.51
DWV,DOWNIEVILLE,0.0,4.34,5.32,5.79,4.92,4.1,0.87,0.54,0.08,0.04,0.01,1.52
DYL,DOYLE,0.01,0.96,0.92,1.29,0.61,0.53,0.13,0.19,0.1,0.15,0.03,0.2
DNM,DUNSMUIR TREATMENT PLANT,0.08,2.9,3.98,8.0,6.18,4.42,1.11,0.12,0.32,0.09,0.02,0.05
EGL,EAGLE CREEK,0.0,1.4,1.98,5.62,1.84,3.36,0.63,0.01,0.48,0.0,0.0,0.0
